node,category,n_upstream_mainland,n_upstream,mainland_in_ratio,n_downstream_mainland,n_downstream,mainland_out_ratio,separators
fdp_prd_std_internal.std_internal_sapentbw.company_code_s4__zs4compco,CO_MINGLED_DOWNSTREAM,0,1,0.000,21,23,0.913,
fdp_prd_itg_internal.itg_internal_finance.dim_supplier,CO_MINGLED_UPSTREAM,4,5,0.800,0,8,0.000,
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,CO_MINGLED_UPSTREAM,4,5,0.800,0,7,0.000,
fdp_prd_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,CO_MINGLED_UPSTREAM,5,7,0.714,0,5,0.000,
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,CO_MINGLED_UPSTREAM,5,7,0.714,0,4,0.000,
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_actual_agg_collapsed,CO_MINGLED_DOWNSTREAM,0,2,0.000,2,9,0.222,"biz,cust,mat"
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_plan_agg_collapsed,CO_MINGLED_DOWNSTREAM,0,2,0.000,2,9,0.222,"biz,cust,mat"
fdp_prd_std_internal.std_internal_tpm.shipment_baseline__int304,CO_MINGLED_UPSTREAM,10,11,0.909,0,0,,
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,CO_MINGLED_UPSTREAM,1,3,0.333,0,7,0.000,
fdp_prd_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,CO_MINGLED_UPSTREAM,1,3,0.333,0,7,0.000,
fdp_prd_itg_restricted.itg_restricted_people_data.department_hierarchy,CO_MINGLED_DOWNSTREAM,0,2,0.000,6,8,0.750,
fdp_prd_std_confidential.std_confidential_sapenthanadb.consolidated_profit_and_loss_actual__zcq_data_hub_consolpnl,CO_MINGLED_DOWNSTREAM,0,0,,1,10,0.100,"biz,cust,mat"
fdp_prd_std_confidential.std_confidential_sapenthanadb.consolidated_profit_and_loss_plan__zcq_data_hub_consolpnl,CO_MINGLED_DOWNSTREAM,0,0,,1,10,0.100,"biz,cust,mat"
fdp_dev_srv_internal.srv_internal_sapanzecc.block_qi_stock,CO_MINGLED_UPSTREAM,6,8,0.750,0,0,,
fdp_prd_srv_internal.srv_internal_sapanzecc.block_qi_stock,CO_MINGLED_UPSTREAM,6,8,0.750,0,0,,loc
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_actual__zcv_data_hub_actualpnl,CO_MINGLED_DOWNSTREAM,0,4,0.000,2,4,0.500,"biz,cust,mat"
fdp_prd_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,CO_MINGLED_UPSTREAM,1,2,0.500,0,5,0.000,
fdp_prd_std_confidential.std_confidential_sapenthanadb.consolidated_profit_and_loss_actual,CO_MINGLED_DOWNSTREAM,0,3,0.000,2,4,0.500,biz
fdp_prd_std_internal.std_internal_afp.my_customer,CO_MINGLED_UPSTREAM,5,6,0.833,0,1,0.000,
fdp_prd_std_internal.std_internal_sea_afp.int_my_customer,CO_MINGLED_UPSTREAM,5,6,0.833,0,1,0.000,
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,CO_MINGLED_UPSTREAM,1,2,0.500,0,4,0.000,
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_prd,CO_MINGLED_DOWNSTREAM,0,1,0.000,4,5,0.800,
fdp_prd_itg_internal.itg_internal_finance.open_po,CO_MINGLED_UPSTREAM,4,5,0.800,0,1,0.000,loc
fdp_prd_itg_internal.itg_internal_sapentbw.vw_material_ent,CO_MINGLED_DOWNSTREAM,0,1,0.000,3,5,0.600,
fdp_prd_itg_internal.itg_internal_source_to_pay.fact_accounting_document_payment_terms,CO_MINGLED_UPSTREAM,1,5,0.200,0,1,0.000,
fdp_prd_std_confidential.std_confidential_sapenthanadb.consolidated_profit_and_loss_plan,CO_MINGLED_DOWNSTREAM,0,3,0.000,2,3,0.667,biz
fdp_prd_std_internal.std_internal_sup.dm_material_composition,CO_MINGLED_UPSTREAM,1,4,0.250,0,2,0.000,
fdp_prd_itg_internal.itg_internal_sapentbw.vw_profit_centre_ent,CO_MINGLED_DOWNSTREAM,0,1,0.000,3,4,0.750,
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_plan__zcv_data_hub_forecastpnl,CO_MINGLED_DOWNSTREAM,0,0,,3,5,0.600,"biz,cust,mat"
fdp_prd_std_internal.std_internal_cfin.md_dim_date,CO_MINGLED_DOWNSTREAM,0,1,0.000,2,4,0.500,
fdp_prd_std_internal.std_internal_source_to_pay.vim_parked_docs_anz,CO_MINGLED_UPSTREAM,2,3,0.667,0,2,0.000,"biz,loc"
fdp_dev_std_internal.std_internal_korora.kotahireferences_bol,CO_MINGLED_DOWNSTREAM,0,0,,3,4,0.750,
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_20260407,CO_MINGLED_DOWNSTREAM,0,1,0.000,2,3,0.667,
fdp_prd_itg_internal.itg_internal_source_to_pay.fact_ml_recategorisation_spend,CO_MINGLED_UPSTREAM,1,3,0.333,0,1,0.000,
fdp_prd_itg_internal.itg_internal_sup.fact_delivery,CO_MINGLED_UPSTREAM,2,3,0.667,0,1,0.000,
fdp_prd_itg_restricted.itg_restricted_people_data.positions,CO_MINGLED_DOWNSTREAM,0,2,0.000,1,2,0.500,biz
fdp_prd_std_confidential.std_confidential_sapenthanadb.consolidated_profit_and_loss_actual_plan,CO_MINGLED_DOWNSTREAM,0,2,0.000,1,2,0.500,biz
fdp_prd_std_internal.std_internal_anzsap.master_data_material_unit_of_measure_hist,CO_MINGLED_DOWNSTREAM,0,0,,3,4,0.750,mat
fdp_dev_itg_internal.itg_internal_korora.shipment_container_tracking_agg_fonterra,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,
fdp_dev_itg_internal.itg_internal_scv.indirect_sales,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,"mat,so"
fdp_dev_itg_internal.itg_internal_scv.japan_customer_stock_sales,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,"mat,so"
fdp_dev_itg_internal.itg_internal_scv.switch_indirect,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,"mat,so"
fdp_dev_itg_internal.itg_internal_scv.warehouse_replenishment,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,"mat,so"
fdp_dev_std_internal.std_internal_anzsap.master_data_material_unit_of_measure_hist,CO_MINGLED_DOWNSTREAM,0,0,,2,3,0.667,mat
fdp_dev_std_internal.std_internal_korora.kotahireferences,CO_MINGLED_DOWNSTREAM,0,0,,2,3,0.667,
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable,CO_MINGLED_DOWNSTREAM,0,0,,2,3,0.667,
fdp_dev_std_internal.std_internal_scv.scv_eventhub_bronzetable_updt_30032026,CO_MINGLED_DOWNSTREAM,0,1,0.000,1,2,0.500,
fdp_prd_std_internal.std_internal_manual_cfin.consolidated_reporting_hierarchy,CO_MINGLED_DOWNSTREAM,0,0,,1,3,0.333,
fdp_prd_std_internal.std_internal_scv.scv_eventhub_bronzetable,CO_MINGLED_DOWNSTREAM,0,0,,1,3,0.333,
