catalog,schema,n_nodes,mainland_tagged,comingled_up,comingled_down,interior,source,sink,retained
fdp_prd_std_internal,std_internal_sapanzecc,930,930,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_apac_malaysia,454,454,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_sapentbw,172,0,0,1,0,2,0,168
fdp_prd_std_internal,std_internal_apac_vietnam,87,87,0,0,0,0,0,0
fdp_prd_srv_internal,srv_internal_sapanzecc,63,0,1,0,0,0,18,21
fdp_prd_std_internal,std_internal_jde,57,57,0,0,0,0,0,0
fdp_prd_itg_restricted,itg_restricted_finance,51,32,1,0,0,0,0,8
fdp_prd_std_confidential,std_confidential_sapenthanadb,48,0,0,9,0,3,0,8
fdp_prd_itg_internal,itg_internal_source_to_pay,42,0,4,0,0,0,1,9
fdp_prd_srv_internal,srv_internal_source_to_pay,40,0,0,0,0,0,1,39
fdp_prd_itg_internal,itg_internal_sapentbw,26,0,0,2,0,0,0,17
fdp_prd_std_internal,std_internal_sapcorpecc,25,0,0,0,0,0,0,25
fdp_prd_itg_internal,itg_internal_sapanzecc,18,0,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_source_to_pay,17,0,1,0,0,0,9,3
fdp_prd_srv_internal,srv_internal_jde,16,0,0,0,0,0,6,4
fdp_prd_std_internal,std_internal_sapanzbw,16,6,0,0,0,7,0,2
fdp_prd_itg_restricted,itg_restricted_source_to_pay,14,0,0,0,0,0,0,14
fdp_prd_std_internal,std_internal_mainland,14,14,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_corpsap,13,0,0,0,0,0,0,13
fdp_prd_srv_restricted,srv_restricted_finance,13,10,0,0,0,0,0,2
fdp_prd_std_internal,std_internal_sapanzapo,13,7,0,0,0,6,0,0
fdp_prd_std_internal,std_internal_sup,12,0,1,0,0,0,0,7
fdp_prd_srv_internal,srv_internal_inventory,12,7,0,0,0,0,0,5
fdp_prd_itg_internal,itg_internal_finance,11,0,2,0,0,0,0,4
fdp_prd_srv_internal,srv_internal_finance,10,0,0,0,0,0,0,10
fdp_prd_std_confidential,std_confidential_successfactors,9,0,0,0,0,2,0,7
fdp_prd_itg_internal,itg_internal_inventory,9,7,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_scv,9,0,0,1,0,0,0,8
fdp_prd_std_internal,std_internal_auplanning,9,0,0,0,0,9,0,0
fdp_prd_srv_internal,srv_internal_information_management,7,0,0,0,0,0,1,6
fdp_prd_itg_internal,itg_internal_korora,7,5,0,0,0,0,0,0
fdp_prd_itg_internal,itg_internal_manual_information_management,6,0,0,0,0,0,0,3
fdp_prd_itg_restricted,itg_restricted_people_data,6,0,0,2,0,0,0,2
fdp_prd_srv_restricted,srv_restricted_source_to_pay,6,0,0,0,0,0,0,6
fdp_prd_srv_restricted,srv_restricted_people_data,6,6,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_tpm,4,0,1,0,0,0,3,0
fdp_prd_std_internal,std_internal_sea_afp,4,0,1,0,0,0,0,2
fdp_prd_itg_internal,itg_internal_jde,4,0,0,0,0,0,0,0
fdp_prd_itg_internal,itg_internal_scv,4,0,0,0,0,0,0,4
fdp_prd_std_confidential,std_confidential_sapentbw,4,0,0,0,0,0,0,4
fdp_prd_srv_internal,srv_internal_ame_data_warehouse,4,0,0,0,0,0,0,4
fdp_prd_srv_internal,srv_internal_global_markets_sales,4,0,0,0,0,0,0,4
fdp_prd_std_internal,std_internal_sappunahas4,3,0,0,0,0,0,0,3
fdp_prd_srv_internal,srv_internal_sapanzbw,3,1,0,0,0,0,2,0
fdp_prd_std_internal,std_internal_manual_cfin,3,0,0,1,0,0,0,2
fdp_prd_std_internal,std_internal_korora,3,0,0,0,0,3,0,0
fdp_prd_srv_internal,srv_internal_sup,3,0,0,0,0,0,0,3
fdp_prd_std_internal,std_internal_sapents4,2,0,0,0,0,0,0,2
fdp_prd_itg_internal,itg_internal_sup,2,0,1,0,0,0,0,0
fdp_prd_itg_internal,itg_internal_global_markets_sales,2,0,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_afp,2,0,1,0,0,0,0,0
fdp_prd_std_internal,std_internal_global_markets_sales,2,0,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_cfin,2,0,0,1,0,0,0,1
fdp_prd_std_internal,std_internal_anzsap,2,0,0,1,0,0,0,0
fdp_prd_srv_internal,srv_internal_afp,2,0,0,0,0,0,0,2
fdp_prd_srv_restricted,srv_restricted_ame_data_warehouse,2,0,0,0,0,0,0,2
fdp_prd_srv_internal,srv_internal_energy_and_utilities,2,2,0,0,0,0,0,0
fdp_prd_srv_internal,srv_internal_korora,2,2,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_fsa,2,2,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_manual_dunnhumby,2,2,0,0,0,0,0,0
fdp_prd_std_internal,std_internal_nova,2,2,0,0,0,0,0,0
fdp_prd_itg_restricted,itg_restricted_ame_data_warehouse,1,0,0,0,0,0,0,0
fdp_prd_itg_internal,itg_internal_demand,1,0,0,0,0,0,0,0
fdp_prd_itg_internal,itg_internal_supply,1,0,0,0,0,0,0,1
fdp_prd_std_internal,std_internal_manual_energy_and_utilities,1,0,0,0,0,1,0,0
fdp_prd_std_confidential,std_confidential_source_to_pay,1,0,0,0,0,0,0,1
fdp_prd_srv_internal,srv_internal_demand,1,0,0,0,0,0,0,1
fdp_prd_itg_restricted,itg_restricted_mainland,1,1,0,0,0,0,0,0
fdp_prd_srv_internal,srv_internal_fsa,1,1,0,0,0,0,0,0
